CSS Code,Institution Name,state,student.domestic,student.international,parent.noncustodial,IDOC
4758,Stanford U: Sch of Medicine,CA,Yes,Yes,Yes,No
7832,Stanford U: School of Law,CA,Yes,Yes,No,No
4704,Stanford University,CA,Yes,Yes,Yes,Yes
5630,Stetson University,FL,No,Yes,No,No
2819,Stevens Institute Technology,NJ,Yes,Yes,No,No
2821,Swarthmore College,PA,Yes,Yes,Yes,Yes
2823,Syracuse University,NY,Yes,No,Yes,No
6820,Texas Christian University,TX,Yes,Yes,Yes,No
550,The 200 Club of Morris County,NJ,Yes,No,No,No
4828,Thomas Aquinas College (CA/MA),CA,No,Yes,Yes,No
3903,Thomas College,ME,No,Yes,No,No
3905,Town of Chelmsford Schol Fund,MA,Yes,No,No,No
1809,"Trevecca Nazarene University, TN",TN,No,Yes,No,No
3899,Trinity College (CT),CT,Yes,Yes,Yes,No
6831,Trinity University,TX,Yes,Yes,No,Yes
8865,Tufts U: School of Dental Medicine,MA,Yes,No,Yes,No
3901,Tufts University,MA,Yes,Yes,Yes,Yes
6832,Tulane University,LA,Yes,Yes,Yes,No
2920,Union College (NY),NY,Yes,Yes,Yes,No
7152,Univ of California: San Francisco,CA,Yes,No,Yes,Yes
1832,Univ of Chicago,IL,Yes,No,No,No
4842,Univ of Denver,CO,Yes,No,Yes,No
3936,Univ of Massachusetts: Medical School,MA,Yes,No,Yes,No
5815,Univ of Miami,FL,Yes,Yes,Yes,Yes
1839,Univ of Michigan,MI,Yes,No,Yes,No
5816,Univ of North Carolina Chapel,NC,Yes,No,No,No
1841,Univ of Notre Dame,IN,Yes,Yes,Yes,Yes
2495,Univ of Penn: Law School,PA,Yes,Yes,Yes,No
2951,Univ of Penn: Perelman Sch of Med,PA,Yes,Yes,Yes,No
2933,Univ of Pennsylvania,PA,Yes,Yes,Yes,No
2907,Univ of Pittsburgh: Sch of Med,PA,Yes,No,Yes,No
5569,Univ of Richmond,VA,Yes,Yes,Yes,Yes
2928,Univ of Rochester,NY,Yes,Yes,Yes,Yes
2915,Univ of Rochester Sch of Med/Dent,NY,Yes,Yes,Yes,No
4852,Univ of Southern California (USC),CA,Yes,No,Yes,No
5820,Univ of Virginia,VA,Yes,No,Yes,Yes
1814,University of Cincinnati: College of Medicine,OH,Yes,Yes,Yes,No
5841,University of Virginia: School of Law,VA,Yes,Yes,Yes,No
670,Vanderbilt U: School of Medicine,TN,Yes,Yes,No,No
1871,Vanderbilt University,TN,Yes,Yes,No,No
5130,Vanderbilt University: School of Law,TN,Yes,No,No,No
2956,Vassar College,NY,Yes,Yes,Yes,Yes
2959,Villanova University,PA,Yes,Yes,Yes,Yes
5558,Virginia Commonwealth U: Sch of Med,VA,Yes,No,No,No
5084,Wake Forest Sch of Medicine,NC,Yes,No,Yes,No
5885,Wake Forest University,NC,Yes,No,Yes,Yes
3307,Warren Alpert Medical School of Brown University,RI,Yes,No,Yes,No
6926,Wartburg College,IA,No,Yes,No,No
5887,Washington and Lee University,VA,Yes,Yes,Yes,No
6929,Washington University: St. Louis,MO,Yes,Yes,Yes,No
2279,Weill Cornell Medical School,NY,Yes,No,Yes,No
3957,Wellesley College,MA,Yes,Yes,Yes,Yes
3959,Wesleyan University,CT,Yes,Yes,Yes,Yes
4948,Westminster University,UT,No,Yes,No,No
4951,Whitman College,WA,Yes,Yes,Yes,Yes
4953,Whitworth University,WA,No,Yes,No,No
6941,William Jewell College,MO,Yes,Yes,No,No
3965,Williams College,MA,Yes,Yes,Yes,Yes
3969,Worcester Polytechnic Institute,MA,Yes,Yes,Yes,No
4748,Wyoming Catholic College,WY,Yes,Yes,No,No
3987,Yale College,CT,Yes,Yes,Yes,Yes
3809,Yale University: David Geffen School of Drama,CT,Yes,Yes,Yes,No
3989,Yale University: Physicians Associate Program,CT,Yes,Yes,No,No
3975,Yale University: School of Architecture,CT,Yes,Yes,Yes,No
3807,Yale University: School of Art,CT,Yes,Yes,Yes,No
3990,Yale University: School of Medicine,CT,Yes,Yes,No,No
